key,title,期間増加PV,期間増加スキ,稼働日数,推移PV,集計日
n236b3352fde3,noteが“推したい記事”を公開情報から逆算してみた,18,1,5,5→0→3→3→1→1→5,2026-03-22
n3f4909491005,【保存版】AIを最強の部下にする「5つの柵」。変態的プロンプト設計図（インフォグラフィック付）,18,1,5,4→1→3→0→2→2→6,2026-03-22
nb1ad629c3521,note記事のPVとスキをデータ分析して見えたこと|人・仕掛け・フォロワーが届き方を変える|分析|データ| note運用|AI活用|生成AI,14,3,5,4→3→2→0→1→1→3,2026-03-22
ncc237b121648,プロンプトは「TEXT / YAML / JSON」どれがええねん。,14,3,5,0→5→2→4→2→0→1,2026-03-22
n8894a18d51c1,保有株の損益、もう手計算しない｜Googleスプレッドシート＋Pythonで自動可視化する方法,13,0,5,5→3→1→2→1→0→1,2026-03-22
nea4a6e7d7e7e,V8来るで。Midjourneyが「審美眼貸して」って言うてきた,13,0,5,0→2→0→4→3→2→2,2026-03-22
n1fa3983abb53,「もう勘に頼らない！」J-Quants APIで比較対象企業を一発抽出するPython自動ツール,9,0,5,1→3→1→0→2→1→1,2026-03-22
n8af759621330,【探すの面倒くさすぎ】Midjourney V7パラメータ、わかる分だけ全部ここに置いとく“自分用メモ”,17,0,4,5→4→3→2→3→0→0,2026-03-22
n07d869d6422e,アレニウスモデルについてまとめてみる｜故障モードと活性化エネルギーの読み解き方,13,0,4,2→3→6→1→0→1→0,2026-03-22
n702fe66aa98d,【AIアート/イラスト】AIで「ポストカード水彩」再現してみた,13,0,4,0→2→5→3→0→0→3,2026-03-22
n3ab972786aa0,Note非公式APIでできることを整理してみた,11,0,4,4→2→0→0→2→1→2,2026-03-22
nfe531191f233,「ハッシュタグ」はデータで選べ。フォロワー外に届けるための“新・タグ設計術”,11,2,4,4→0→2→0→2→1→2,2026-03-22
n155066063025,ワイが裏で仕掛けてたnote実験、まとめて白状しとく。,9,0,4,1→1→2→0→0→3→2,2026-03-22
n214601fceec8,自己紹介を1枚図解にする「YAMLプロンプト」入門｜Gemini×画像生成AIで5分完成,9,0,4,1→1→3→2→0→2→0,2026-03-22
n8e365e887d5f,【Gem公開】プロフィールと記事からAIは、ポートレートをつくれるのか。,9,1,4,0→1→0→4→3→1→0,2026-03-22
n1ab80047f8f8,デザインマネージャーの「資料生成術」をエンジニアがハックしたら、とてつもない資産に見えた話,7,1,4,1→2→1→0→1→0→2,2026-03-22
n066fb6464129,「手書き・Excel管理はもう不要！」Google Colabで実現する究極の配当金自動管理ダッシュボード【Python】,6,0,4,1→2→0→1→1→0→1,2026-03-22
n9f271d5f24b1,Note運営｜ビュー数とスキで見る“成長の品質”｜毎日ログの4象限,6,0,4,1→0→0→2→1→1→1,2026-03-22
n32534069903c,【AIアート/イラスト】ヘッダー落ちしたけど気に入ってる１枚　第一弾,5,0,4,0→1→0→0→1→2→1,2026-03-22
nc26003dfcebd,爆速投資ハック！Excel地獄から5分で脱出！― yfinance＋Google Colab＋Plotlyで「取る→見える」を一撃！ ―,5,0,4,0→1→0→0→1→2→1,2026-03-22
n7c537e680f56,【383文字の実験】Noteのアルゴリズムをハックしたい。,4,0,4,0→1→1→0→0→1→1,2026-03-22
neb02f3c0d51c,【AIアート/イラスト】ガソリンスタンドからなにか生み出せるのか。,4,1,4,0→1→0→1→0→1→1,2026-03-22
n8cf8cff84c68,Spotifyプレイリスト3ステップ一括取得ツール,14,2,3,0→5→1→0→0→8→0,2026-03-22
ncd8b72a7ae92,いきなり沼る前に：Nano Banana Proをラクにする“6つの軸”,12,0,3,3→6→0→0→1→0→2,2026-03-22
n825cd2765f6a,FUJI式YAMLに触発されて作った「インフォグラフィック設計プロンプト」,8,0,3,1→2→3→0→2→0→0,2026-03-22
n12201dd9b5ff,【NanoBanana 構造化設計】画像生成を「運」から「論理」へ変える、メタプロンプト・エンジンの全貌,6,0,3,2→2→0→1→0→0→1,2026-03-22
nbe6ef7fc6e07,OASOBI第7回・後日談｜同じワードで、世界線がいっぱい生えた件,6,0,3,2→0→2→0→1→1→0,2026-03-22
n109b8114e303,【AIアート/イラスト】ヘッダー落ちしたけど気に入ってる1枚　第四弾,5,0,3,0→1→0→2→0→0→2,2026-03-22
ndbabcde3c6c7,AIアート｜過去のサムネをリライト,5,1,3,2→0→1→0→1→1→0,2026-03-22
nee997e61457a,【314文字の実験】Noteのアルゴリズムをハックしたい。,5,1,3,1→2→0→1→0→1→0,2026-03-22
n71f8cf9a71aa,【AIアート/イラスト】ヘッダー落ちしたけど気に入ってる１枚　第二弾,4,1,3,0→1→2→1→0→0→0,2026-03-22
n7df1c359e56e,データの特徴から“最適な変曲点手法カテゴリ”を自動処理,4,0,3,0→1→1→2→0→0→0,2026-03-22
n879ba96f5373,【AIアート/イラスト】ヘッダー落ちしたけど気に入ってる1枚　第三弾,4,1,3,0→0→0→2→1→0→1,2026-03-22
na347d2af866a,【Nanobanana 解説】JSONプロンプトでポートレートをどこまで変えられるのか,4,0,3,1→0→1→1→0→0→1,2026-03-22
nae95b4013622,AIアート｜コラボ｜覗いたら終わる。マーコ展示録（火野枝馬子）,4,0,3,0→0→2→0→0→1→1,2026-03-22
ndcf74df8e26d,【AIアート/イラスト】7th OASOBI企画 ＃266,4,0,3,1→0→1→1→0→1→0,2026-03-22
n3df2abbd3e90,ChatGPT、ついに“制限解除”──AIが笑って返す時代の幕開け！？,3,0,3,0→0→1→0→0→1→1,2026-03-22
n56cb68c44f3e,【Gemini×スプシ】「読めた」は大嘘？“読めてる風”事故を防ぐ『URL直貼り』の儀式,3,0,3,0→0→1→1→0→0→1,2026-03-22
n9d3ab3287016,企業アカのnote、正直“教科書”になるんちゃうん？｜キリン公式の設計図を解剖してみた,3,0,3,0→0→1→0→1→1→0,2026-03-22
